Starting heat_equation experiment
Log file: logs/heat_equation_20250615_122424.log
Experiment: Heat Equation
Data shape: (128, 1000)
POD dimension: 128
Hidden units: [128, 8256]
Regularization method: dense2sparse
Device: mps
Training parameters: M=10.0, lr=0.001, batch_size=64
Optimizer: Adam, knee_method: zmethod
==================================================

=== SparseModesNet (λ-path=dense2sparse) on Heat Equation: d=128, n=1000, s=128 ===

=== Dense-To-Sparse (default) λ-Path ===

-- Path iteration 1, λ = 1.000e-04   (r(λ) prev = 128)
  λ=7.430e-04 | Epoch  70 | lr=6.2500e-05 | Recon MSE=4.901019e-06 | ‖ω‖₁=1.010914e+00
  λ=7.430e-04 | Epoch  80 | lr=3.1250e-05 | Recon MSE=4.792264e-06 | ‖ω‖₁=1.001174e+00
  λ=7.430e-04 | Epoch  80 | Recon MSE=4.792264e-06 | ‖ω‖₁=1.001174e+00
  → at λ=7.430e-04:  r(λ)=127, rel_err=2.542912e-03

-- Path iteration 13, λ = 8.916e-04   (r(λ) prev = 127)
  λ=8.916e-04 | Epoch   1 | lr=1.0000e-03 | Recon MSE=6.637960e-02 | ‖ω‖₁=1.103035e+00
  λ=8.916e-04 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.131911e-05 | ‖ω‖₁=1.075954e+00
  λ=8.916e-04 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.136727e-05 | ‖ω‖₁=1.063375e+00
  λ=8.916e-04 | Epoch  30 | lr=5.0000e-04 | Recon MSE=7.159155e-06 | ‖ω‖₁=1.051542e+00
  λ=8.916e-04 | Epoch  40 | lr=2.5000e-04 | Recon MSE=5.464640e-06 | ‖ω‖₁=1.037926e+00
  λ=8.916e-04 | Epoch  50 | lr=1.2500e-04 | Recon MSE=5.126366e-06 | ‖ω‖₁=1.025138e+00
  λ=8.916e-04 | Epoch  60 | lr=1.2500e-04 | Recon MSE=4.805575e-06 | ‖ω‖₁=1.012662e+00
  λ=8.916e-04 | Epoch  70 | lr=6.2500e-05 | Recon MSE=4.432182e-06 | ‖ω‖₁=1.001207e+00
  λ=8.916e-04 | Epoch  80 | lr=3.1250e-05 | Recon MSE=4.898421e-06 | ‖ω‖₁=9.906308e-01
  λ=8.916e-04 | Epoch  80 | Recon MSE=4.898421e-06 | ‖ω‖₁=9.906308e-01
  → at λ=8.916e-04:  r(λ)=127, rel_err=2.193697e-03

-- Path iteration 14, λ = 1.070e-03   (r(λ) prev = 127)
  λ=1.070e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=6.600777e-02 | ‖ω‖₁=1.101121e+00
  λ=1.070e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.326669e-05 | ‖ω‖₁=1.068583e+00
  λ=1.070e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.321492e-05 | ‖ω‖₁=1.056691e+00
  λ=1.070e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=8.350035e-06 | ‖ω‖₁=1.046030e+00
  λ=1.070e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=5.994567e-06 | ‖ω‖₁=1.031015e+00
  λ=1.070e-03 | Epoch  50 | lr=1.2500e-04 | Recon MSE=5.151788e-06 | ‖ω‖₁=1.015993e+00
  λ=1.070e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=4.890816e-06 | ‖ω‖₁=1.001191e+00
  λ=1.070e-03 | Epoch  70 | lr=6.2500e-05 | Recon MSE=4.689791e-06 | ‖ω‖₁=9.878402e-01
  λ=1.070e-03 | Epoch  80 | lr=3.1250e-05 | Recon MSE=4.484977e-06 | ‖ω‖₁=9.758119e-01
  λ=1.070e-03 | Epoch  80 | Recon MSE=4.484977e-06 | ‖ω‖₁=9.758119e-01
  → at λ=1.070e-03:  r(λ)=127, rel_err=2.205402e-03

-- Path iteration 15, λ = 1.284e-03   (r(λ) prev = 127)
  λ=1.284e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=6.586947e-02 | ‖ω‖₁=1.099099e+00
  λ=1.284e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.480799e-05 | ‖ω‖₁=1.063013e+00
  λ=1.284e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.255591e-05 | ‖ω‖₁=1.048078e+00
  λ=1.284e-03 | Epoch  30 | lr=5.0000e-04 | Recon MSE=7.427732e-06 | ‖ω‖₁=1.032483e+00
  λ=1.284e-03 | Epoch  40 | lr=2.5000e-04 | Recon MSE=5.768860e-06 | ‖ω‖₁=1.015327e+00
  λ=1.284e-03 | Epoch  50 | lr=1.2500e-04 | Recon MSE=4.926468e-06 | ‖ω‖₁=9.990563e-01
  λ=1.284e-03 | Epoch  60 | lr=1.2500e-04 | Recon MSE=5.077275e-06 | ‖ω‖₁=9.835033e-01
  λ=1.284e-03 | Epoch  70 | lr=6.2500e-05 | Recon MSE=4.906900e-06 | ‖ω‖₁=9.690881e-01
  λ=1.284e-03 | Epoch  80 | lr=3.1250e-05 | Recon MSE=5.008622e-06 | ‖ω‖₁=9.562433e-01
  λ=1.284e-03 | Epoch  80 | Recon MSE=5.008622e-06 | ‖ω‖₁=9.562433e-01
  → at λ=1.284e-03:  r(λ)=127, rel_err=2.306573e-03

-- Path iteration 16, λ = 1.541e-03   (r(λ) prev = 127)
  λ=1.541e-03 | Epoch   1 | lr=1.0000e-03 | Recon MSE=6.754617e-02 | ‖ω‖₁=1.098831e+00
  λ=1.541e-03 | Epoch  10 | lr=1.0000e-03 | Recon MSE=2.446491e-05 | ‖ω‖₁=1.053323e+00
  λ=1.541e-03 | Epoch  20 | lr=5.0000e-04 | Recon MSE=1.619488e-05 | ‖ω‖₁=1.025386e+00
